rank,label,samples,threshold,flip_mean,flip_weighted_median,ppd,teacher_foreground,candidate_foreground,intersection,false_negative_erosion,false_positive_addition,symmetric_difference,dice,reference,candidate
23,rank 23 · y=3739,1024,0.25,0.206734,0.582893,67.0206,781,684,584,197,100,297,0.7972696245733788,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_023\teacher.png,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_023\n001024\t0.25.png
24,rank 24 · y=3737,1024,0.25,0.200842,0.571427,67.0206,761,675,577,184,98,282,0.8036211699164345,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_024\teacher.png,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_024\n001024\t0.25.png
26,rank 26 · x=2164,1024,0.25,0.381062,0.727546,67.0206,889,812,569,320,243,563,0.6690182245737801,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_026\teacher.png,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_026\n001024\t0.25.png
37,rank 37 · z=7714,1024,0.25,0.178446,0.57142,67.0206,765,671,593,172,78,250,0.8259052924791086,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_037\teacher.png,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_037\n001024\t0.25.png
39,rank 39 · y=3745,1024,0.25,0.196148,0.599323,67.0206,740,664,556,184,108,292,0.792022792022792,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_039\teacher.png,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_039\n001024\t0.25.png
40,rank 40 · y=3731,1024,0.25,0.187719,0.530537,67.0206,754,688,603,151,85,236,0.8363384188626907,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_040\teacher.png,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_040\n001024\t0.25.png
41,rank 41 · z=7718,1024,0.25,0.169462,0.532263,67.0206,763,677,605,158,72,230,0.8402777777777778,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_041\teacher.png,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_041\n001024\t0.25.png
42,rank 42 · y=3746,1024,0.25,0.190082,0.599036,67.0206,740,670,564,176,106,282,0.8,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_042\teacher.png,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_042\n001024\t0.25.png
43,rank 43 · z=7717,1024,0.25,0.180942,0.539246,67.0206,766,680,601,165,79,244,0.8312586445366529,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_043\teacher.png,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_043\n001024\t0.25.png
44,rank 44 · z=7719,1024,0.25,0.170372,0.553999,67.0206,753,666,594,159,72,231,0.8372093023255814,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_044\teacher.png,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_044\n001024\t0.25.png
45,rank 45 · z=7691,1024,0.25,0.340867,0.729202,67.0206,936,849,602,334,247,581,0.6745098039215687,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_045\teacher.png,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_045\n001024\t0.25.png
46,rank 46 · y=3767,1024,0.25,0.178827,0.606119,67.0206,648,507,457,191,50,241,0.7913419913419913,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_046\teacher.png,D:\work\vesuvius-c\output\crossres_data\m7_xr_v31_duration_ladder_human_report_20260831\assets\locked16\rank_046\n001024\t0.25.png
