rank,label,threshold,left_samples,right_samples,flip_mean_left,flip_mean_right,flip_mean_delta_right_minus_left,erosion_left,erosion_right,erosion_delta_right_minus_left,addition_left,addition_right,addition_delta_right_minus_left,dice_left,dice_right,dice_delta_right_minus_left,right_better_by_flip
23,rank 23 · y=3739,0.45,2048,8192,0.232258,0.23238,0.00012200000000001099,260,260,0,79,77,-2,0.7545257060101376,0.7556200145032632,0.0010943084931256397,False
24,rank 24 · y=3737,0.45,2048,8192,0.22009,0.219243,-0.0008470000000000144,238,236,-2,77,76,-1,0.7685525349008082,0.7709251101321586,0.002372575231350371,True
26,rank 26 · x=2164,0.45,2048,8192,0.398869,0.400381,0.0015120000000000133,575,578,3,31,29,-2,0.5089141004862237,0.5061025223759154,-0.0028115781103082993,False
37,rank 37 · z=7714,0.45,2048,8192,0.195752,0.196168,0.0004159999999999997,216,217,1,57,55,-2,0.8008752735229759,0.8011695906432749,0.00029431712029892587,False
39,rank 39 · y=3745,0.45,2048,8192,0.199636,0.198898,-0.0007380000000000164,214,213,-1,80,79,-1,0.7815750371471025,0.7830609212481426,0.0014858841010401136,True
40,rank 40 · y=3731,0.45,2048,8192,0.197018,0.196269,-0.0007489999999999997,203,202,-1,52,51,-1,0.8120854826823877,0.8135593220338984,0.0014738393515106862,True
41,rank 41 · z=7718,0.45,2048,8192,0.202354,0.19921,-0.003144000000000008,218,215,-3,50,49,-1,0.8026509572901326,0.8058823529411765,0.0032313956510439112,True
42,rank 42 · y=3746,0.45,2048,8192,0.201822,0.198095,-0.003727000000000008,215,211,-4,79,76,-3,0.78125,0.7866171003717473,0.005367100371747258,True
43,rank 43 · z=7717,0.45,2048,8192,0.202877,0.201556,-0.0013209999999999888,222,221,-1,52,49,-3,0.7988252569750367,0.8014705882352942,0.0026453312602574552,True
44,rank 44 · z=7719,0.45,2048,8192,0.199922,0.197204,-0.002717999999999998,213,209,-4,54,53,-1,0.8017817371937639,0.8059259259259259,0.004144188732162046,True
45,rank 45 · z=7691,0.45,2048,8192,0.344568,0.342057,-0.0025109999999999855,403,403,0,182,171,-11,0.6456692913385826,0.65,0.004330708661417382,True
46,rank 46 · y=3767,0.45,2048,8192,0.191208,0.192184,0.0009760000000000046,227,228,1,33,33,0,0.764065335753176,0.7629427792915532,-0.0011225564616228478,False
47,rank 47 · z=7720,0.45,2048,8192,0.195683,0.193104,-0.002578999999999998,211,209,-2,57,54,-3,0.8017751479289941,0.8053293856402665,0.00355423771127239,True
64,rank 64 · z=7690,0.45,2048,8192,0.352677,0.34957,-0.0031070000000000264,413,414,1,183,171,-12,0.6352509179926561,0.6391116594694632,0.00386074147680715,True
66,rank 66 · z=7712,0.45,2048,8192,0.202805,0.202788,-1.7000000000017e-05,224,225,1,62,59,-3,0.7939481268011528,0.7947976878612717,0.0008495610601189085,True
70,rank 70 · z=7711,0.45,2048,8192,0.214293,0.213854,-0.0004390000000000227,231,229,-2,73,73,0,0.7800289435600579,0.7817919075144508,0.0017629639543929043,True
